分类ID(category_id),游戏ID(game_id),交易行名称(nage),是否是可合成物品(compile_flag),每组精力消耗(vigor_cost),每组材料生成物品数(avg_amount),当前价格(amont),当前时间(record_time),售卖者(seller_name)
1,"5,27587",珍·鸳鸯鸡,1,20,4,193.91,2018/04/15 16:57,代码敲不完
2,"5,24771",月光石,0,0,1,299.93,2018/04/15 16:57,雾鲤
2,"5,24768",枷罗木,0,0,1,1.93,2018/04/15 16:57,大唐男神锅
1,"5,28848",重制·葵花鸭,1,20,6,70,2018/04/15 16:57,天光
2,"5,28846",珍珠泉水,0,0,1,3.97,2018/04/15 16:57,语白
1,"5,27588",珍·金乳酥,1,20,4,127.42,2018/04/15 16:57,太平天下
2,"5,3165",油盐酱醋,0,0,1,0.01,2018/04/15 16:57,酱料商
2,"5,24772",娑罗木,0,0,1,195.89,2018/04/15 16:57,纯阳挨打弟子
2,"5,24767",金沙石,0,0,1,1.49,2018/04/15 16:57,你给老子等着
2,"5,27604",水晶芙蓉肉,1,40,5,41.82,2018/04/15 16:57,七月的小咸鱼
2,"5,27605",玉髓碎片,0,0,0,4.96,2018/04/15 18:35,一只傲娇霸霸
2,"5,24517",上等里脊肉,0,0,0,8,2018/04/15 18:35,憨厚的二狗子
2,"5,24516",上等五花肉,0,0,0,2.34,2018/04/15 18:35,花影残月
2,"5,24518",上等腰子,0,0,0,1.23,2018/04/15 18:35,坐坦克的贝塔
